//	extraxted from http://norvig.com/mayzner.html
//	more at http://storage.googleapis.com/books/ngrams/books/datasetsv2.html

CN	0.00001	24,249,641
DN	0.00008	213,431,654
EN	1.454	41,004,903,554
FN	0.00000	11,823,066
GN	0.00066	1,850,801,359
HN	0.00026	726,288,117
IN	2.433	68,595,215,308
JN	0.00000	4,150,888
KN	0.00051	1,450,401,608
LN	0.00006	165,509,578
MN	0.00009	247,850,339
NN	0.00073	2,051,719,074
ON	1.758	49,570,981,965
PN	0.00001	33,536,129
QN	0.00000	1,859,810
RN	0.00160	4,521,640,992
SN	0.00009	258,702,825
TN	0.00010	282,266,629
UN	0.00394	11,121,118,166
VN	0.00000	4,317,772
WN	0.00079	2,227,183,930
XN	0.00000	1,613,611
YN	0.00013	372,595,315
ZN	0.00000	4,300,522

AO	0.00005	130,442,323
BO	0.00195	5,509,918,152
CO	0.00794	22,384,167,777
DO	0.00188	5,307,591,560
EO	0.00073	2,044,268,477
FO	0.00488	13,753,006,196
GO	0.00132	3,725,558,729
HO	0.00485	13,672,603,513
IO	0.00835	23,542,263,265
JO	0.00054	1,516,687,319
KO	0.00006	171,324,962
LO	0.00387	10,908,830,081
MO	0.00337	9,498,813,191
NO	0.00465	13,099,447,521
OO	0.00210	5,928,601,045
PO	0.00361	10,189,505,383
QO	0.00000	1,324,363
RO	0.00727	20,491,179,118
SO	0.00398	11,214,705,934
TO	1.041	29,360,205,581
UO	0.00011	300,484,143
VO	0.00071	2,004,982,879
WO	0.00222	6,252,724,050
XO	0.00003	76,097,183
YO	0.00150	4,226,720,021
ZO	0.00007	202,480,511

AP	0.00203	5,719,570,727
BP	0.00001	15,427,250
CP	0.00001	37,067,423
DP	0.00002	48,855,638
EP	0.00172	4,837,800,987
FP	0.00000	6,262,895
GP	0.00000	11,612,944
HP	0.00001	16,696,129
IP	0.00089	2,515,455,253
JP	0.00000	6,129,447
KP	0.00001	20,492,678
LP	0.00019	536,595,562
MP	0.00239	6,743,935,008
NP	0.00006	170,186,564
OP	0.00224	6,313,536,754
PP	0.00137	3,850,125,519
QP	0.00000	272,180
RP	0.00042	1,173,542,093
SP	0.00191	5,392,724,233
TP	0.00004	121,089,391
UP	0.00136	3,835,093,459
VP	0.00000	5,510,046
WP	0.00001	20,982,546
XP	0.00067	1,885,334,638
YP	0.00025	702,499,946
ZP	0.00000	1,361,846

AQ	0.00002	63,283,982
BQ	0.00000	346,506
CQ	0.00005	154,363,546
DQ	0.00001	19,927,900
EQ	0.00057	1,614,312,175
FQ	0.00000	149,430
GQ	0.00000	345,624
HQ	0.00000	11,925,353
IQ	0.00011	318,727,904
JQ	0.00000	0
KQ	0.00000	187,242
LQ	0.00000	3,582,930
MQ	0.00000	708,424
